FİRMA	HESAP ADI	İBAN	MİKRO	BANKA UZUN ADI	UNVAN
Paslanmaz	EUR	TR79 0006 7010 0000 0085 9877 21	102.03.Y001	YAPI KREDİ BANKASI A.Ş.	OMS PASLANMAZ MUTFAK ARAÇLARI SAN. VE TİC. LTD.ŞTİ.
Uluslararası	TL	TR35 0006 7010 0000 0087 6824 24	102.01.Y101	YAPI KREDİ BANKASI A.Ş.	OMS ULUSLARARASI TİCARET LTD.ŞTİ.
Uluslararası	USD	TR33 0006 7010 0000 0088 4226 67	102.02.Y101	YAPI KREDİ BANKASI A.Ş.	OMS ULUSLARARASI TİCARET LTD.ŞTİ.
Uluslararası	EUR	TR22 0006 7010 0000 0088 4226 71	102.03.Y101	YAPI KREDİ BANKASI A.Ş.	OMS ULUSLARARASI TİCARET LTD.ŞTİ.
Paslanmaz	TL	TR73 0001 0022 8656 8833 9050 05	102.01.Z001	ZİRAAT BANKASI A.Ş.	OMS PASLANMAZ MUTFAK ARAÇLARI SAN. VE TİC. LTD.ŞTİ.
Paslanmaz	USD	TR46 0001 0022 8656 8833 9050 06	102.02.Z001	ZİRAAT BANKASI A.Ş.	OMS PASLANMAZ MUTFAK ARAÇLARI SAN. VE TİC. LTD.ŞTİ.
Paslanmaz	EUR	TR19 0001 0022 8656 8833 9050 07	102.03.Z001	ZİRAAT BANKASI A.Ş.	OMS PASLANMAZ MUTFAK ARAÇLARI SAN. VE TİC. LTD.ŞTİ.
Uluslararası	TL	TR46 0001 0022 8658 3681 7950 13	102.01.Z101	ZİRAAT BANKASI A.Ş.	OMS ULUSLARARASI TİCARET LTD.ŞTİ.
Uluslararası	USD	TR19 0001 0022 8658 3681 7950 14	102.02.Z101	ZİRAAT BANKASI A.Ş.	OMS ULUSLARARASI TİCARET LTD.ŞTİ.
Uluslararası	EUR	TR89 0001 0022 8658 3681 7950 15	102.03.Z101	ZİRAAT BANKASI A.Ş.	OMS ULUSLARARASI TİCARET LTD.ŞTİ.
Paslanmaz	TL	TR71 0020 9000 0012 7640 0000 01	102.01.Z011	ZİRAAT KATILIM BANKASI A.Ş.	OMS PASLANMAZ MUTFAK ARAÇLARI SAN. VE TİC. LTD.ŞTİ.
Paslanmaz	EUR	TR17 0020 9000 0012 7640 0000 03	102.03.Z011	ZİRAAT KATILIM BANKASI A.Ş.	OMS PASLANMAZ MUTFAK ARAÇLARI SAN. VE TİC. LTD.ŞTİ.
Paslanmaz	TL	TR33 0021 1000 0005 4863 3000 01	102.01.E011	EMLAK KATILIM BANKASI A.Ş.	OMS PASLANMAZ MUTFAK ARAÇLARI SAN. VE TİC. LTD.ŞTİ.
Paslanmaz	USD	TR49 0021 1000 0005 4863 3001 01	102.02.E011	EMLAK KATILIM BANKASI A.Ş.	OMS PASLANMAZ MUTFAK ARAÇLARI SAN. VE TİC. LTD.ŞTİ.
Paslanmaz	EUR	TR22 0021 1000 0005 4863 3001 02	102.03.E011	EMLAK KATILIM BANKASI A.Ş.	OMS PASLANMAZ MUTFAK ARAÇLARI SAN. VE TİC. LTD.ŞTİ.
Uluslararası	TL	TR46 0021 1000 0005 4861 1000 01	102.01.E111	EMLAK KATILIM BANKASI A.Ş.	OMS ULUSLARARASI TİCARET LTD.ŞTİ.
Uluslararası	USD	TR62 0021 1000 0005 4861 1001 01	102.02.E111	EMLAK KATILIM BANKASI A.Ş.	OMS ULUSLARARASI TİCARET LTD.ŞTİ.
Uluslararası	EUR	TR35 0021 1000 0005 4861 1001 02	102.03.E111	EMLAK KATILIM BANKASI A.Ş.	OMS ULUSLARARASI TİCARET LTD.ŞTİ.
Paslanmaz	TL	TR74 0006 2001 6040 0006 2924 89	102.01.G001	GARANTİ BBVA	OMS PASLANMAZ MUTFAK ARAÇLARI SAN. VE TİC. LTD.ŞTİ.
Paslanmaz	TL FİRMA ÇEK	TR81 0006 2001 6040 0006 2946 91	102.01.G002	GARANTİ BBVA	OMS PASLANMAZ MUTFAK ARAÇLARI SAN. VE TİC. LTD.ŞTİ.
Paslanmaz	TL TEMİNAT ÇEK	TR59 0006 2001 6040 0006 2970 27	102.01.G004	GARANTİ BBVA	OMS PASLANMAZ MUTFAK ARAÇLARI SAN. VE TİC. LTD.ŞTİ.
Paslanmaz	TL MAAŞ	TR94 0006 2001 6040 0006 2977 55	102.01.G003	GARANTİ BBVA	OMS PASLANMAZ MUTFAK ARAÇLARI SAN. VE TİC. LTD.ŞTİ.
Paslanmaz	USD	TR68 0006 2001 6040 0009 0976 43	102.02.G001	GARANTİ BBVA	OMS PASLANMAZ MUTFAK ARAÇLARI SAN. VE TİC. LTD.ŞTİ.
Paslanmaz	EUR	TR95 0006 2001 6040 0009 0976 42	102.03.G001	GARANTİ BBVA	OMS PASLANMAZ MUTFAK ARAÇLARI SAN. VE TİC. LTD.ŞTİ.
Uluslararası	TL	TR54 0006 2001 6040 0006 2953 71	102.01.G101	GARANTİ BBVA	OMS ULUSLARARASI TİCARET LTD.ŞTİ.
Uluslararası	TL MAAŞ	TR24 0006 2001 6040 0006 2977 54	102.01.G103	GARANTİ BBVA	OMS ULUSLARARASI TİCARET LTD.ŞTİ.
Uluslararası	USD	TR37 0006 2001 6040 0009 0984 92	102.02.G101	GARANTİ BBVA	OMS ULUSLARARASI TİCARET LTD.ŞTİ.
Uluslararası	EUR	TR27 0006 2001 6040 0009 0862 56	102.03.G101	GARANTİ BBVA	OMS ULUSLARARASI TİCARET LTD.ŞTİ.
Ener	TL	TR68 0001 0022 8683 1841 8550 03	102.01.Z042	ZİRAAT BANKASI A.Ş.	ENER MUTFAK GEREÇLERİ SAN.VE TİC.LTD.ŞTİ.
Ener	USD	TR41 0001 0022 8683 1841 8550 04	102.01.Z044	ZİRAAT BANKASI A.Ş.	ENER MUTFAK GEREÇLERİ SAN.VE TİC.LTD.ŞTİ.
